2310 22744
1133 1550 55
1879 1750 72
1660 16 37
1882 1110 61
905 232 63
2182 1666 17
41 305 1
1643 1897 4
674 334 32
768 1462 9
2277 467 56
1595 898 67
1107 174 16
1999 39 75
2255 1105 79
696 1753 35
1538 1325 11
1112 2101 74
532 1948 14
1396 1590 77
168 106 40
798 1794 78
688 1084 28
2236 869 13
852 692 19
2286 316 58
1789 458 82
437 1164 70
1901 2104 38
851 334 73
761 1491 65
746 1317 44
397 1734 10
642 246 51
1645 1354 33
1593 1920 42
2143 724 51
1815 1198 42
1365 948 55
1875 691 48
45 244 54
213 1326 75
1549 1576 68
775 65 15
653 1877 56
777 168 57
972 1333 70
2009 1399 56
635 428 4
1418 351 60
2197 948 3
402 1370 52
1826 1664 75
142 1396 22
1339 1519 23
559 2195 36
49 1616 11
162 1195 51
311 832 10
673 414 54
807 1920 76
2055 1942 33
29 1542 6
1222 1925 35
534 2143 1
1201 817 10
680 1272 76
691 941 16
2224 1064 21
712 314 10
589 482 66
839 1473 69
451 452 9
65 79 51
729 592 80
195 955 30
1663 344 42
1670 1880 5
692 514 21
1992 1329 54
2165 1682 27
1883 1996 38
753 1130 77
2015 813 61
346 1022 55
1342 1755 22
625 937 50
1239 108 6
754 1465 46
579 1756 35
1957 111 48
2073 260 34
3 1990 49
1876 1654 55
2224 377 23
1922 1685 4
2044 1931 29
618 1728 75
1468 100 27
1389 1395 18
1032 1463 23
439 1906 40
414 2257 4
1965 873 49
320 1680 50
63 189 78
144 2109 50
256 71 26
1503 2202 79
1067 1284 54
1608 706 45
1645 2073 67
578 508 58
382 709 20
506 1183 30
565 562 23
905 573 27
595 94 64
264 2222 25
584 1463 68
171 161 52
1292 69 53
1238 651 76
643 304 73
1715 435 26
1053 2214 54
2096 89 72
1173 1533 69
658 70 82
2182 1304 79
988 510 12
1742 1039 50
1812 931 43
775 1030 79
656 1817 11
65 877 55
913 1741 21
579 2106 39
44 103 54
1446 21 11
576 475 8
1475 1155 9
2053 724 57
1579 118 68
812 257 14
45 1009 66
91 522 16
2045 820 79
1804 662 11
906 184 69
481 548 2
798 275 18
648 335 31
1013 580 48
546 912 10
1029 558 60
560 1359 13
2177 227 29
1540 2205 4
468 2233 56
199 1321 39
624 319 15
524 276 48
1815 788 81
577 146 2
328 1778 76
1572 1476 9
2047 737 14
81 1153 25
317 1563 20
644 1656 19
1997 1357 55
973 1525 72
1898 2152 53
1125 2285 35
1921 949 56
682 130 40
379 21 64
1747 113 33
1649 1927 22
1369 836 82
125 1062 32
2266 769 12
1614 478 46
1123 701 7
760 189 70
889 1848 21
1323 1112 33
1104 248 72
1345 1889 25
831 542 40
1612 2048 38
1771 1599 57
206 550 7
1241 938 38
474 714 81
1584 1839 67
2161 2022 25
587 57 44
198 827 54
1122 811 45
1961 1826 30
1434 1712 61
573 1089 7
1474 1365 72
1853 1624 30
1322 1763 74
1113 480 71
209 1268 1
196 188 18
1989 1859 50
534 681 66
2249 1234 32
1885 825 19
1089 606 61
1404 1752 75
1359 42 50
574 16 33
1567 576 75
1712 1191 39
681 575 54
134 1729 16
2076 908 38
656 1132 2
694 105 43
606 1697 6
704 140 13
885 1122 72
2235 858 36
1212 1430 39
2144 1748 75
930 1098 65
944 1605 67
2229 2080 48
562 79 52
839 1718 18
1909 1625 4
1620 1948 19
2310 841 1
449 580 52
584 1664 46
1963 142 82
2296 454 58
2297 1530 72
1848 868 16
366 1692 3
139 834 38
744 122 26
355 1122 24
773 990 6
2169 1599 37
2114 275 39
624 393 77
592 1212 71
1496 1919 43
1805 63 19
1060 424 55
1444 1749 27
1294 1181 10
69 413 65
281 1769 28
1852 1692 14
1245 1389 52
1942 1869 24
281 275 75
459 897 24
2007 120 3
2249 1356 50
513 94 36
1041 460 52
881 1483 20
1796 1386 33
1251 1288 38
1523 117 4
1435 1080 82
969 910 6
2217 921 60
206 261 12
756 1451 4
1755 2205 42
894 1150 23
1388 1116 33
252 1209 68
1843 1638 22
628 233 16
1588 205 70
1724 105 28
290 944 22
582 220 35
380 1913 58
1426 2189 11
372 1939 60
1749 1677 35
2282 1979 8
1897 727 46
544 2211 30
368 1491 12
282 914 61
846 2304 16
370 1103 77
1443 1354 65
1401 1987 76
887 1929 22
1309 245 19
816 1085 14
1270 348 31
2059 2228 58
1261 1598 50
810 835 56
1159 528 28
747 1582 8
857 1412 46
1701 1353 46
406 1251 12
553 44 34
1931 1085 26
1104 1196 28
1877 467 72
1881 367 45
479 219 59
2106 2236 32
977 990 77
787 768 23
1916 1487 41
2108 993 1
913 193 73
5 1194 23
872 1774 3
693 1728 69
702 2210 15
1647 716 17
68 772 22
976 1716 45
482 2059 41
1319 1857 76
1321 2249 49
739 1492 75
687 1208 24
1192 2172 44
1665 518 66
743 256 22
1882 1293 31
1643 1095 64
1014 1380 26
36 1045 76
1121 541 8
1218 2201 8
2211 914 73
501 967 6
2305 695 38
881 1087 36
1028 1844 23
1408 251 81
1523 385 2
315 329 37
1908 1008 57
555 1334 43
925 55 23
468 883 5
702 1637 25
2238 1076 77
1032 1996 75
337 317 6
356 1197 42
737 1548 71
898 1079 12
323 686 23
785 1765 34
1695 31 61
1186 819 16
1731 1584 80
122 662 13
1183 1038 31
1147 1163 46
1495 1699 76
408 2187 34
959 918 43
862 1350 20
1602 1928 57
2194 36 44
608 1750 56
1554 169 72
671 1778 40
842 2056 34
736 1306 25
960 1101 6
1227 2003 61
1260 1706 18
557 1478 60
980 1917 21
1045 1403 7
1666 1454 71
1258 485 58
1552 1858 69
1728 2091 61
334 520 77
1027 1577 67
2084 340 66
1756 371 81
534 365 6
1576 128 32
190 59 1
243 2017 15
860 962 75
1678 1985 68
1533 79 78
750 610 79
2145 929 22
1759 21 72
916 652 17
2029 1979 7
840 964 34
1890 695 21
1799 1500 65
733 174 80
1354 1195 13
1553 1074 57
536 2042 50
407 1927 15
1640 548 21
1 159 36
1937 761 1
270 1815 40
2006 999 40
1075 453 54
593 514 2
4 412 68
1771 274 36
865 693 79
2283 1848 52
1644 992 30
1974 259 73
1086 42 44
116 1504 58
1824 489 70
299 1219 50
452 700 41
1478 1468 66
1969 1718 10
952 210 72
1628 1728 29
212 1741 62
2098 1826 73
1462 997 75
592 2052 61
2047 1064 30
1282 317 28
2280 1030 9
1211 1439 25
145 2098 74
947 159 2
473 1689 22
2112 1244 71
828 1759 22
412 2019 1
1206 1627 69
985 1029 72
726 691 46
1831 2124 44
583 1918 75
958 1573 20
1935 1374 42
1097 1368 60
1123 1714 63
1169 1414 37
1671 1338 27
1978 39 9
1847 3 10
418 1076 30
1878 2156 9
1221 2205 21
369 1541 53
593 2031 61
1701 1789 38
1373 569 45
1834 2075 4
1904 724 26
155 361 63
349 1852 40
1242 1328 37
899 1640 81
356 1007 13
1282 1314 5
2204 1216 17
1220 621 36
750 91 48
584 2044 74
630 1748 71
429 926 53
1882 33 63
957 1142 56
1714 1058 35
2038 261 43
1919 120 43
704 1545 70
177 1438 52
1952 2179 45
967 331 38
95 2025 54
79 1434 70
1189 181 44
1799 1453 27
1258 2000 52
588 1928 31
186 1362 12
1343 1493 62
1328 1536 1
151 828 21
772 522 70
45 624 14
56 1240 11
85 1917 17
38 1469 57
2015 1514 11
126 1796 31
1106 1979 3
924 1892 11
712 1434 9
1280 717 60
552 2144 78
740 1141 35
24 97 73
998 1658 57
542 2163 27
2227 1942 57
1316 1025 72
114 2005 7
2250 1647 59
131 2134 1
343 64 43
1438 1421 22
1504 1775 60
134 1643 18
151 3 5
380 1080 7
1641 575 31
2126 2015 27
353 323 29
1415 1752 70
247 202 75
481 340 44
202 1876 2
288 2289 9
860 645 61
170 573 37
1394 2246 66
403 562 36
751 1341 15
1889 1682 28
1501 1107 64
529 2230 33
1819 615 80
426 1220 62
2017 1036 76
1875 1502 28
814 2152 51
1335 413 48
650 1503 33
160 1662 6
457 55 8
1499 683 38
1161 503 24
695 2169 33
201 1223 26
1214 956 10
947 1570 34
579 1344 50
1875 1118 30
1115 1058 61
318 1485 58
2024 891 34
2122 1453 68
1329 740 49
2238 1233 45
1068 1696 24
1904 1234 82
798 1156 74
344 1735 22
391 1821 49
2184 847 34
2170 1749 57
767 1095 57
376 1756 50
549 528 9
860 952 81
154 1292 81
138 1153 82
1386 203 78
1832 1903 21
1617 1378 64
379 328 2
1661 1888 53
847 305 50
156 1848 35
1710 906 23
510 1669 41
1524 906 32
755 1102 45
367 2121 64
502 1397 55
585 461 67
1795 850 51
1847 200 17
194 2295 25
680 177 54
341 1534 9
1898 617 57
1813 534 56
879 1080 68
1997 1520 8
968 876 16
2207 907 66
1510 1130 26
1253 1171 82
1373 1837 66
63 996 70
653 291 75
621 1523 79
574 1720 20
186 290 19
295 1985 82
768 880 19
844 1409 55
447 1244 63
1707 2180 52
949 1893 58
701 1751 43
2246 1639 64
809 1074 75
1560 1193 30
652 170 81
601 914 48
213 1649 44
1676 938 81
179 2266 59
199 1677 36
598 893 10
1697 93 2
1664 1646 54
1701 1080 30
1629 491 29
1261 2276 50
1262 900 10
992 86 76
1329 1377 49
589 878 5
539 1443 1
2236 886 65
1228 495 20
2289 369 12
1284 1607 42
2162 1536 2
2235 115 22
124 2283 64
1336 2065 4
202 2044 14
2246 1955 64
924 1979 33
1076 2309 43
1672 2144 77
2154 1304 42
2231 609 26
1497 1778 76
2227 2039 9
2185 821 24
1523 166 44
1864 60 21
1319 1632 51
808 1773 22
139 2199 54
112 2189 41
954 669 75
1763 724 71
286 2061 2
84 1381 19
1433 129 51
1075 1299 71
1184 1707 41
604 464 27
1287 1260 45
253 946 25
741 1304 1
1997 1157 80
1086 1681 82
1299 2154 16
1810 816 14
1115 1046 31
1895 1337 53
117 970 30
409 830 21
625 1736 66
700 712 19
1736 335 26
2119 2142 50
1063 320 28
5 658 51
331 1485 49
529 1463 8
1819 25 57
533 1749 40
1092 1211 80
846 1474 68
2301 184 68
1497 1533 59
1846 1815 68
2179 169 27
1752 836 61
874 2012 48
1246 1876 60
292 1513 24
1466 2151 6
885 1625 24
205 1635 76
1458 1162 75
1706 1746 33
82 1856 42
1417 2305 67
1542 1569 19
907 311 19
1819 1162 45
1108 538 27
2017 599 70
1996 1434 18
2030 266 64
2042 423 78
1045 1750 57
1288 951 45
1713 1881 63
1833 1520 25
2170 1133 26
2141 2301 65
501 1177 1
933 870 49
935 92 4
932 938 22
244 2168 68
696 1462 79
2147 2096 57
1305 28 53
364 455 68
1393 1652 3
1975 713 4
797 1949 21
1309 854 70
465 1409 37
672 631 9
1994 1679 80
990 807 37
260 388 26
463 180 12
498 1582 2
1106 1885 45
340 732 13
775 478 50
859 218 11
1107 1440 45
314 774 33
1623 1114 24
901 1057 9
1480 1232 37
906 1976 74
35 29 73
1609 1435 25
1930 204 43
1826 517 52
1968 326 46
1632 1257 48
558 188 61
591 438 22
1635 2287 17
1339 1659 28
45 753 57
1039 2074 13
1480 189 32
370 764 65
2125 2078 79
2264 419 32
194 1402 29
1774 1200 50
143 1980 74
836 624 1
1850 2033 11
1506 2162 67
1785 524 56
1664 2023 66
269 1509 68
1769 458 82
1097 2173 34
1400 1068 55
1364 317 27
1383 2080 58
617 1843 39
495 1506 36
236 1220 41
221 1153 54
1661 198 16
669 278 9
1993 22 46
2250 1485 61
1806 2028 42
54 1223 41
452 1814 58
2062 834 74
1453 1368 29
141 478 62
1510 1924 69
88 633 13
2091 458 30
411 501 59
1830 1991 1
206 277 55
851 2143 17
866 161 74
865 594 18
1294 1698 10
1156 858 28
1569 965 67
797 2117 11
608 839 34
1571 119 29
2268 1248 46
561 872 67
1707 1335 51
976 1342 80
1798 836 43
1936 1135 56
294 494 32
941 1547 78
994 1389 25
1213 283 56
1745 705 22
2233 1320 75
1445 1744 21
1999 981 41
1692 2225 13
898 1302 62
291 87 41
1276 1008 59
587 21 12
2211 1229 32
841 2273 81
1787 1976 2
1696 1431 63
885 549 50
2112 1435 41
127 136 41
2059 983 48
104 545 5
1677 2116 41
1627 1172 77
847 1386 4
1539 945 8
1898 459 52
1306 479 70
931 500 47
737 1460 29
1589 2092 11
1648 1037 33
1746 839 55
1019 21 39
2092 2036 18
1337 1098 32
2152 806 24
1996 1308 49
702 537 42
428 1694 4
304 171 55
706 1332 35
2123 919 25
146 1970 7
2035 295 38
2086 251 13
379 798 14
2175 1380 9
399 1494 23
2087 903 11
714 1000 82
1711 561 61
69 728 35
1341 1386 7
1162 1458 46
1374 1246 25
243 750 6
1362 1211 65
1282 2058 20
1226 1156 68
1242 1785 59
2218 2140 54
468 1845 44
826 171 15
476 886 3
1621 2272 77
2254 1977 44
2192 1553 37
1973 2109 59
486 1888 40
2222 1313 61
1452 140 19
2289 889 8
989 1466 79
2009 2042 24
1943 1100 15
1997 792 42
195 356 37
64 1994 30
153 1288 40
264 1337 62
1031 2059 51
450 1086 54
268 350 30
1006 1289 27
2244 2141 62
400 2282 6
635 501 45
1831 1196 27
537 350 7
130 1035 1
1075 705 43
1910 903 71
1754 920 13
508 954 22
1578 1000 15
944 2252 4
865 857 4
497 1078 7
845 42 41
1176 1847 43
1285 1686 82
697 1071 41
1535 1984 30
730 688 30
2228 869 32
1021 1630 45
2041 23 7
832 1536 21
1572 451 8
1122 1391 32
1795 919 45
583 69 26
25 889 77
501 1391 54
1513 1703 79
431 2245 18
2070 899 9
1282 35 53
284 2225 44
1301 1918 16
592 1282 13
1774 116 13
1116 1745 43
2051 1938 60
1491 1696 2
739 1349 54
1385 2272 6
924 1867 34
1578 1722 6
161 1875 9
428 471 69
462 2252 18
1960 602 74
250 946 5
733 723 9
533 2072 69
703 1557 14
203 797 68
1932 2256 48
647 1830 5
1241 2122 50
1630 2061 25
2253 188 79
624 106 25
752 1202 14
408 471 10
1049 1506 33
1927 1703 37
2280 1741 42
2226 1115 56
2247 2160 54
1879 1527 43
2085 767 67
1060 382 70
1403 908 52
1179 569 81
2172 1067 55
1350 2045 3
348 658 53
142 1007 43
1037 741 79
951 1388 60
246 2164 15
1674 2161 65
651 2276 34
925 678 66
1084 1218 37
933 1645 39
697 388 53
656 2074 10
1278 1321 69
1365 1568 4
383 1969 9
261 907 22
1620 1862 19
1230 486 8
1709 1512 41
762 802 64
597 2157 51
598 421 8
1635 179 46
1242 1377 5
1741 1518 9
1162 1494 7
2117 1115 40
1046 1713 70
1217 645 53
912 2155 15
1840 1528 78
1400 451 3
1522 458 57
2221 1826 27
872 1283 1
1991 213 15
138 1231 63
811 1461 60
1299 1990 17
1604 1174 82
1014 995 4
1831 1877 39
1591 1020 32
871 2113 24
212 1876 22
35 385 51
2069 543 81
1427 525 70
319 1066 36
1212 1587 65
99 2108 23
1834 830 3
383 1779 12
271 384 70
1738 1300 55
2121 753 30
996 2170 10
2264 300 6
426 1401 28
926 939 67
2212 1502 82
1343 1938 47
365 1416 50
135 305 44
1715 2161 2
1181 1887 72
1838 1866 64
77 152 27
2045 1816 80
1570 534 3
1872 1077 25
102 966 78
1526 587 25
687 2226 77
1525 2049 11
1999 1908 32
1011 1993 21
442 1665 47
1735 2076 69
1216 807 56
1079 129 26
653 1740 49
1818 1105 16
1264 1398 66
790 598 82
236 1410 8
477 1219 76
2222 457 25
856 172 22
35 1386 24
1783 1628 48
201 1084 19
1338 408 16
1029 1930 21
878 342 62
1 485 34
1975 1232 30
1181 2001 6
1733 934 9
992 1266 51
1488 1536 70
2149 505 11
869 140 29
297 2064 2
11 1974 44
1243 1778 54
2030 1842 41
1609 793 77
2146 2213 70
203 2084 80
1266 922 20
2135 1503 12
329 1825 7
1588 1925 3
1910 1107 9
377 1689 15
37 1250 50
1249 1039 46
622 1137 81
2135 1158 74
205 1154 45
1451 829 74
160 1263 39
426 1024 79
1578 725 79
589 652 48
442 1173 32
1306 2153 32
710 2074 48
2090 1971 63
1778 322 55
1938 1779 25
2008 1420 61
2212 1722 71
321 1152 41
1393 1156 6
2127 1572 1
1203 959 4
70 1 64
1258 229 82
1273 1076 71
335 677 18
1499 1953 5
301 1663 15
2106 1171 37
4 439 38
2115 1660 35
534 1704 45
463 1153 41
2164 1329 18
527 2220 81
1256 2226 1
1843 1525 38
926 1422 9
815 1256 9
1184 841 37
1482 619 64
487 352 25
1650 1908 5
1257 1611 47
2284 1293 6
1054 840 31
582 1791 56
142 178 29
1762 1901 28
2146 1656 53
542 1832 49
1076 1296 65
1919 1866 16
234 130 17
2264 521 32
531 17 10
450 937 1
330 923 47
843 1531 17
290 1408 52
497 1871 27
815 809 71
934 384 7
1134 1400 59
915 771 10
1314 788 23
2089 955 61
549 482 41
12 121 54
734 2096 18
497 1810 48
1424 1612 26
71 666 10
571 1096 9
421 1221 50
1542 1797 13
1111 813 9
1092 1997 8
2164 2251 34
2153 2087 53
350 1895 1
196 525 18
1415 1173 14
1559 911 66
1699 106 10
1251 1591 5
437 1392 79
711 1682 66
1600 264 21
142 514 72
277 912 17
256 1257 25
491 967 29
576 566 57
897 1451 12
1957 1515 82
763 1765 21
1771 1074 1
1870 2191 82
475 1291 46
472 1059 36
102 2201 13
1636 1956 16
1459 573 66
1793 2155 46
1831 169 51
462 735 33
430 1484 12
2183 1154 63
1257 1526 9
653 1792 30
302 163 45
1806 665 81
1583 1697 40
1733 211 12
610 1211 64
1139 1382 2
1153 1047 6
11 682 78
1486 1484 78
832 1244 59
1462 584 35
1980 777 70
2190 2105 21
474 416 22
105 585 78
1316 1564 51
1783 1068 12
1793 1484 10
1735 661 49
894 437 53
1076 1941 6
749 426 59
1192 116 24
1771 803 54
299 751 38
1696 1238 50
2069 1859 11
145 34 52
1323 1977 47
1891 27 59
1497 682 43
1506 1373 56
1167 131 42
1077 675 2
509 427 14
2169 2258 56
1130 1397 25
1192 1349 13
87 2073 59
263 1007 14
2192 106 68
1021 1175 38
1152 2008 75
2148 2079 15
689 893 55
1786 712 27
844 1983 58
910 584 5
1122 2303 27
1692 2305 56
548 1443 61
811 1278 67
1232 1331 35
2285 167 15
213 297 1
1508 1797 21
639 1217 62
1918 1713 6
1515 2108 46
694 1536 81
229 1207 78
909 1770 29
1077 137 10
19 415 79
1135 1046 2
211 1386 33
452 955 34
696 748 71
1314 1741 31
1834 1982 69
487 2248 46
472 2077 4
1260 805 18
1236 1170 66
1471 1264 28
1115 1517 57
2092 2259 68
1130 1429 62
864 1885 46
1120 1844 78
791 1086 66
1264 1871 23
272 2130 36
173 1231 73
1014 1742 64
923 612 27
177 2054 81
1508 65 59
1571 784 32
770 178 79
149 759 17
1271 536 53
1939 946 27
554 1711 38
1496 805 45
2115 1885 66
2212 1128 22
1089 1356 52
2058 2122 26
1088 1038 20
1154 1911 40
1373 2177 80
768 857 75
1677 4 14
419 1725 81
55 34 16
173 1504 15
1137 1782 76
1046 298 35
474 948 82
1798 65 9
148 280 34
54 1611 50
455 1082 33
1800 962 8
2089 1167 66
2019 595 28
2069 1534 15
820 565 36
2195 695 81
852 628 1
2022 1054 61
400 1348 61
1255 399 24
1539 2114 37
486 1709 60
935 2226 6
1893 1588 78
1515 476 71
2089 1978 26
1489 1201 21
2108 1883 25
861 1337 19
1396 1430 35
1568 278 73
1689 1128 32
2071 1661 74
1797 657 32
723 78 69
1404 213 25
333 1058 45
809 561 64
1313 1856 74
1197 1174 57
458 2193 48
1722 397 24
2136 1237 57
955 1652 50
1085 2158 42
2194 1457 13
776 1980 25
1726 1920 5
291 1031 1
315 135 61
1541 1373 34
651 1837 76
1235 1078 14
36 1217 39
1461 1660 73
1821 1186 35
107 88 75
1098 1738 32
1266 1891 12
760 1674 31
509 1674 47
1216 451 72
542 1766 29
1009 1469 56
791 803 32
63 38 64
763 104 33
16 1509 34
611 2048 47
1448 888 18
930 1973 9
677 1895 25
2279 1891 56
369 1221 32
1737 1065 66
1350 366 45
1198 1701 44
399 352 47
631 829 9
1963 801 63
1690 2209 27
1731 1556 49
1246 2236 58
276 2192 55
1141 2054 29
1479 2292 52
1122 924 58
1086 803 41
2088 1166 48
458 1436 5
1716 1394 44
592 479 69
35 201 24
2033 243 36
256 425 39
1574 1536 55
46 2303 8
2111 1997 30
708 1209 81
268 1704 34
1094 539 73
36 2147 4
191 1400 9
2257 796 12
2221 1432 82
129 532 45
2149 90 69
1775 94 33
1881 1341 59
1741 1870 65
1271 1187 64
1582 892 15
1962 1561 65
2240 96 37
966 1153 20
925 871 56
533 1569 40
1156 1272 18
1549 461 21
1607 796 64
39 553 81
2302 1065 45
982 62 78
46 1740 32
1550 1351 77
1153 405 58
187 2309 54
2040 2304 64
2021 2196 1
1543 359 25
1738 1818 37
1050 1574 75
2145 708 65
2161 745 81
1844 135 71
1798 2087 54
610 13 4
1577 2033 48
1709 1010 72
1325 1833 55
576 953 23
1327 1558 26
859 1747 44
924 992 11
1966 772 26
1890 724 17
951 1012 55
1947 1269 53
903 1995 46
2294 353 55
1055 2054 80
779 986 49
421 495 80
733 1719 2
1914 628 71
1829 1236 66
127 2079 69
457 1077 78
834 543 29
512 300 8
1345 422 52
1968 451 1
2148 1099 45
1522 470 34
1073 1872 77
1474 411 2
697 707 58
497 1603 48
788 1313 66
1514 2109 44
1527 26 16
661 1228 1
1186 1505 57
544 895 63
2135 1621 49
2090 673 42
652 326 7
2278 1035 5
1536 1306 25
1936 1429 38
2268 537 30
1883 116 9
1797 1490 45
2294 59 57
2129 1885 26
1471 487 7
1247 1428 33
1231 1411 6
541 104 4
2145 784 58
1918 744 58
2083 1550 70
944 1111 73
251 611 47
1375 1758 2
1385 1117 28
1941 433 62
1880 1100 7
1729 1346 38
1635 1576 53
852 67 57
819 1655 2
1868 497 74
1979 1129 56
1506 1028 69
126 980 79
2178 104 9
2290 2051 64
1293 1972 54
2146 879 11
1563 1964 40
1732 823 12
1224 729 33
2168 2260 75
345 1790 74
1712 1885 37
475 1812 64
1558 1974 82
88 1541 16
2073 1054 51
1565 1301 3
507 866 7
490 625 39
1685 1276 55
119 1568 38
985 681 28
1252 1254 70
2252 984 69
1784 431 68
1977 113 74
263 620 4
2253 792 18
911 458 48
1532 297 74
718 901 9
1439 2291 63
219 225 9
1084 2122 5
19 2205 30
452 775 16
233 1037 60
1031 996 19
1611 711 9
719 2120 10
149 1859 81
2053 1844 70
1411 1595 11
2219 861 25
1013 1270 75
1110 2195 4
2296 2157 1
1795 938 31
1144 1545 58
682 1259 3
510 2090 42
1280 1463 72
1846 459 9
1 1911 27
780 1257 2
672 182 30
449 44 54
1697 1493 41
1198 981 2
1800 910 4
1423 2214 68
894 2075 76
573 152 26
417 1578 59
169 1118 1
1831 1610 2
520 215 15
1854 2278 3
774 1046 67
1639 1164 5
1037 330 15
2190 869 59
678 899 55
1138 2170 75
1076 1274 31
165 2170 9
120 2130 68
432 1272 50
961 1282 39
731 1590 34
2022 1247 5
1886 591 11
904 200 77
1536 1038 9
1545 1180 54
907 625 68
49 464 35
20 710 77
605 1738 82
266 735 66
1084 1965 35
1767 413 14
916 2013 40
1573 1496 26
1294 1009 61
830 1753 77
403 351 36
1047 646 41
321 322 45
1969 2213 41
1026 8 28
1521 1626 64
664 1152 37
735 745 49
2269 1919 25
1967 1749 2
1358 70 3
551 908 78
106 1442 35
268 1042 45
207 72 60
1409 2171 43
1254 1582 58
1667 941 52
1525 715 61
583 1720 72
1918 2073 66
2151 889 71
2225 415 77
982 161 23
2202 808 53
1559 135 73
410 1579 26
1745 868 17
892 50 12
1459 428 12
643 1043 13
2209 379 74
2184 1319 24
84 644 19
554 1505 42
2222 1724 25
1706 606 60
2024 317 25
1400 2036 77
1420 248 50
992 354 79
1756 461 54
1876 1938 56
517 280 41
1027 542 34
1928 764 51
1555 1121 82
7 2114 15
1958 174 67
517 133 46
1543 1879 36
2243 765 20
422 1436 4
1686 264 63
1033 1873 31
811 867 33
54 494 51
1812 1990 55
1899 20 1
73 551 24
1916 710 19
1558 2243 9
712 2247 52
4 1166 49
343 1344 10
2234 2002 75
1020 885 63
1511 1822 6
1277 314 45
2007 296 66
997 2181 11
2 1171 75
1333 645 79
1743 2251 79
541 1428 4
1232 2049 14
297 260 69
499 2203 45
2116 1835 66
544 1375 22
915 2189 70
586 1753 76
1714 1272 56
1138 225 66
165 293 41
593 337 72
1514 624 74
1307 59 74
1073 2123 15
1554 552 9
982 1192 8
2078 1669 61
1619 303 44
64 70 63
761 1426 80
1490 161 2
1453 457 59
568 708 35
805 1933 21
2125 2039 7
1521 1184 24
1134 1737 24
1255 1684 64
674 709 26
1723 62 15
1121 2209 7
1514 361 60
1003 1182 43
1369 994 67
230 1196 24
340 152 58
312 27 74
1001 1096 20
1708 1146 79
772 628 12
2204 769 14
2283 2031 3
1449 176 23
2238 2230 74
545 864 15
803 853 76
1968 1204 3
302 540 49
1964 1888 14
930 1274 17
1926 367 67
1192 232 22
2280 675 21
1420 1280 18
355 978 64
1261 216 48
437 983 79
1987 2218 74
1548 232 10
1780 76 7
1322 1565 74
456 1413 50
1379 588 38
283 1284 42
1789 1720 73
1059 1401 29
1835 224 67
159 1379 56
1809 1979 74
1013 2221 67
52 2133 56
1672 710 19
582 2046 28
1370 2210 13
1989 1873 46
1902 1925 25
1439 421 21
612 1000 45
949 1014 46
103 1993 32
599 1108 24
197 496 37
1992 81 71
128 694 40
871 2072 37
625 1575 32
240 2252 72
1341 1386 9
206 1599 51
2196 1831 82
603 2121 73
977 944 41
1021 2036 44
635 124 60
404 1861 5
249 959 34
52 638 19
1186 1943 38
591 1349 49
267 1013 19
535 164 57
2246 1020 78
378 2202 31
401 2005 3
11 802 36
923 1582 74
2124 13 14
1578 1828 38
1568 1554 61
68 500 13
956 671 76
2268 171 68
234 1255 41
399 1787 23
590 976 23
170 1117 35
1927 464 9
1936 1506 10
1854 739 12
978 1553 13
247 517 70
419 1803 74
1718 576 1
672 165 81
1406 536 45
280 1474 66
10 1857 40
762 2110 48
873 402 19
991 742 56
528 10 7
1148 2016 72
426 710 65
1895 975 49
1815 750 15
158 1833 45
1368 1737 2
1223 2164 51
1556 1933 72
845 2031 29
1677 829 70
265 516 6
836 59 69
1356 1975 66
896 1715 39
962 387 5
1478 1140 13
1045 1455 77
1117 1172 65
2166 245 73
496 333 77
2015 1406 21
163 13 60
860 1711 80
920 1710 9
821 619 65
1046 624 43
1248 1567 34
1023 2241 33
165 1254 65
1525 938 33
335 1038 53
186 1296 11
1437 853 63
407 869 26
30 13 30
528 1701 61
1095 917 7
1298 233 25
1875 457 21
186 412 7
1040 999 77
459 767 40
853 1030 31
1742 2280 47
1449 682 36
680 2011 14
1943 1679 63
1952 1533 19
923 885 66
1584 5 74
302 1041 82
757 1061 12
1962 1277 50
919 130 36
1192 700 34
269 1511 42
158 460 66
1080 1509 53
1285 1893 37
928 349 17
363 1987 77
2285 789 80
496 322 40
2236 1883 76
858 722 71
311 265 44
1833 2294 1
896 335 57
1353 858 33
1813 1689 75
1861 254 56
655 1192 23
2278 1042 7
1781 153 67
320 1938 52
1162 520 17
947 1059 33
1428 1226 48
507 1274 54
490 748 79
402 1427 65
1471 1286 47
140 819 28
572 1391 80
1567 1821 47
618 741 79
420 1491 21
1387 1091 16
1842 1802 31
1515 1034 32
343 236 62
531 355 6
1877 1 59
2220 887 33
110 1358 10
1925 1859 38
224 1944 19
1484 469 24
125 281 4
716 467 10
1025 1979 66
24 182 20
565 527 19
857 1661 58
169 2288 77
1540 935 37
29 1378 33
877 1122 19
202 1030 66
1701 621 67
1091 1613 41
2294 886 8
1514 124 53
1773 155 11
2056 1291 37
214 180 4
2181 988 53
1339 277 45
1548 982 82
406 197 65
553 358 25
1321 416 20
171 1866 5
1940 2104 40
1230 651 35
1738 415 80
1844 1006 60
2228 1622 32
151 750 75
952 1320 51
170 2221 28
1377 1195 13
1737 223 27
1076 808 6
993 1125 71
464 2076 61
1325 1293 48
95 16 41
1530 42 55
2015 994 53
169 917 6
2144 921 48
889 1181 55
